Testing Epoch: 136, Rp: 0.8569658898806003, R2: 0.575432614703629, MAE: 2.6850317391816003, RMSE: 4.338256581242725
Testing Epoch: 137, Rp: 0.8575158436325825, R2: 0.5789019524312713, MAE: 2.6744744513760565, RMSE: 4.320495265899497
Testing Epoch: 138, Rp: 0.8580728108362837, R2: 0.5823158088515463, MAE: 2.663793757064478, RMSE: 4.302946424057432
Testing Epoch: 139, Rp: 0.8586408949115201, R2: 0.5857259788907673, MAE: 2.652898195579952, RMSE: 4.285344784962145
Testing Epoch: 140, Rp: 0.8591887426804268, R2: 0.5891084655988366, MAE: 2.641968074854548, RMSE: 4.267814321934774
Testing Epoch: 141, Rp: 0.8597212765587996, R2: 0.5923935014130614, MAE: 2.6314328343173825, RMSE: 4.25071971634948
Testing Epoch: 142, Rp: 0.8602491028966232, R2: 0.5955517154050407, MAE: 2.62144386254143, RMSE: 4.234219994162199
Testing Epoch: 143, Rp: 0.8607896388320206, R2: 0.5987368854950791, MAE: 2.611020264986642, RMSE: 4.217514064630934
Testing Epoch: 144, Rp: 0.861325835109263, R2: 0.601900647174918, MAE: 2.600563040971157, RMSE: 4.200854653070507
Testing Epoch: 145, Rp: 0.8618498765478485, R2: 0.6049814616615289, MAE: 2.5902546041215464, RMSE: 4.1845682786336935
Testing Epoch: 146, Rp: 0.862351109211812, R2: 0.6079469122305667, MAE: 2.5801913400869863, RMSE: 4.168831666037088
Testing Epoch: 147, Rp: 0.8628641511619968, R2: 0.610994132508359, MAE: 2.570171333770906, RMSE: 4.15259900613074
Testing Epoch: 148, Rp: 0.8633758998982342, R2: 0.6139352705043888, MAE: 2.560210817813324, RMSE: 4.136871043289973
Testing Epoch: 149, Rp: 0.8638821952560307, R2: 0.6168299715906915, MAE: 2.5504610428708174, RMSE: 4.121332798290621
Testing Epoch: 150, Rp: 0.8643595271790223, R2: 0.619675079856485, MAE: 2.5409112559049682, RMSE: 4.106003460682027
Testing Epoch: 151, Rp: 0.8648350389399381, R2: 0.6224664622560043, MAE: 2.5315876076359842, RMSE: 4.090907771567285
Testing Epoch: 152, Rp: 0.8653114306432491, R2: 0.6251779567776377, MAE: 2.522468780809482, RMSE: 4.076190585357143
Testing Epoch: 153, Rp: 0.8657985836511763, R2: 0.6278953274361545, MAE: 2.513711651431981, RMSE: 4.061388001659403
Testing Epoch: 154, Rp: 0.8662864167735994, R2: 0.6306170403888023, MAE: 2.5049905590551953, RMSE: 4.04650748475153
Testing Epoch: 155, Rp: 0.8667604368336167, R2: 0.6332340293271163, MAE: 2.4961427427693996, RMSE: 4.032147742250627
Testing Epoch: 156, Rp: 0.8672260836723356, R2: 0.635820290432088, MAE: 2.4875865743283967, RMSE: 4.017906187033778
Testing Epoch: 157, Rp: 0.8676771755384467, R2: 0.6383375803559437, MAE: 2.479190293003279, RMSE: 4.003995783580613
Testing Epoch: 158, Rp: 0.8681337702302736, R2: 0.6408344084343444, MAE: 2.470909048066128, RMSE: 3.990150546865744
Testing Epoch: 159, Rp: 0.8686030358526184, R2: 0.6433076917403454, MAE: 2.462589512603733, RMSE: 3.9763883417932493
Testing Epoch: 160, Rp: 0.8690429815762861, R2: 0.6456970658162066, MAE: 2.4542912529912226, RMSE: 3.963047650487758
Testing Epoch: 161, Rp: 0.8694795886606257, R2: 0.6480493126322175, MAE: 2.4462457084671767, RMSE: 3.9498702401607426
Testing Epoch: 162, Rp: 0.8699007523318636, R2: 0.6503644047733299, MAE: 2.438298209400886, RMSE: 3.9368579047550494
